id,name,population
1,Srbia,9090715
2,Switzerland,7870000
3,Spain,45989016
4,Japan,120000000
5,UK,64100000
6,Czech Rebublic,10520000
7,Canada,35160000
8,Republic Hrvatska,4253000
9,Republic of Bulgaria,7265000
10,France,66030000
11,Latvia,2013000
12,Republic of South Africa,52980000
13,United States of America,316100000
14,Itary,59830000
15,Kingdom of Belgium,11200000
16,Ukrain,45490000
17,Germany,80620000
18,Australia,23130000
19,Argentin,40760000
20,Poland,38530000
21,Rpussia,143500000
22,China,1200000000
