id,name,country-id,height,hand
1,Novak Djokovic,1,188,right
2,Roger Federer,2,185,right
3,Rafael Nadal,3,185,left
4,Stan Wawrinka,2,183,right
5,Kei Nishikori,4,178,right
6,Andy Murray,5,190,right
7,Tomas Berdych,6,196,right
8,Milos Raonic,7,196,right
9,Marin Cilic,8,198,right
10,David Ferrer,3,175,right
11,Grigor Dimitrov,9,188,right
12,Jo-Wilfried Tsonga,10,188,right
13,Ernests Culbis,11,190,right
14,Feliciano Lopez,3,188,left
15,Roberto Bautista Agut,3,183,right
16,Kevin Anderson,12,203,right
17,Tommy Robredo,3,180,right
18,Gael Monfils,10,190,right
19,John Isner,13,205,right
20,Fabio Fognini,14,178,right
21,Gilles Simon,10,182,right
22,David Goffin,15,180,right
23,Alexandr Dolgopolov,16,180,right
24,Philipp Kohlschreiber,17,177,right
25,Nick Kyrgois,18,190,right
26,Nicolas Almagro,3,183,riight
27,Jeremy Chardy,10,188,right
28,Tommy Haas,13,188,right
29,Juan Martin Del Potro,19,196,right
30,Lukasz Kubot,20,190,right
31,Janowicz Jerzy,20,203,right
32,Verdasco Fernando,3,188,left
33,Mikhail Youzhny,21,183,right
